タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME,MAXNPS,MAXNPS_BW,MAXNPS_S,MEANNPS,MEANNPS_BW,MEANNPS_S,VARNPS,VARNPS_BW,VARNPS_S
FIRE BALL,SP,ANOTHER,11,188,188,91,320,107,183,150,146,132,136,1265,0,14.5,29.2,29.3,8.6,13.1,9.4,0.0,97.02,21.15,19.58,3.92,12.87,11.94,0.93,19.67,19.72,0.96
FREEDOM,SP,ANOTHER,11,150,150,171,167,148,181,205,221,207,181,1481,0,20.8,29.5,32.5,15.8,4.9,16.6,0.0,121.6,21.88,19.38,6.88,12.02,10.63,1.39,17.78,17.75,1.89
I Love You,SP,ANOTHER,11,170,170,68,267,169,176,180,183,176,162,1381,0,29.1,8.0,47.7,3.9,9.7,6.4,3.6,117.0,17.0,17.0,3.54,11.65,11.07,0.57,18.56,19.51,0.69
Mira,SP,ANOTHER,11,184,184,58,254,179,259,204,259,189,194,1596,0,33.2,8.4,64.8,29.2,2.4,3.9,0.0,122.52,16.87,16.87,2.3,9.71,9.36,0.35,7.84,7.11,0.31
No Limit 2 dAnce feat. 大山愛未,SP,ANOTHER,11,155,155,85,219,118,176,138,167,140,139,1182,0,19.9,20.4,24.0,10.3,5.3,8.7,0.0,116.12,16.15,15.5,5.81,9.91,9.2,0.71,14.11,13.18,1.42
Nothing but Theory,SP,ANOTHER,11,160,160,76,221,170,180,197,218,191,185,1438,0,30.7,20.2,40.1,8.7,7.4,6.8,0.0,120.37,18.0,18.0,4.67,11.84,11.21,0.63,8.31,9.59,0.7
Temple of Anubis,SP,ANOTHER,11,155,155,165,188,156,136,166,175,177,182,1345,0,21.9,18.8,26.8,10.3,10.0,18.0,10.8,126.96,17.44,17.44,5.81,10.47,9.18,1.28,13.56,16.87,2.97
THE CANNONBALLER,SP,ANOTHER,11,170,170,77,356,188,235,242,254,208,188,1748,0,30.5,18.9,51.0,15.7,7.0,6.4,0.0,128.82,21.96,21.96,4.25,13.31,12.73,0.59,19.75,18.07,0.94
UMMU,SP,ANOTHER,11,180,180,175,229,156,208,198,244,215,162,1587,0,34.2,16.8,28.6,11.1,5.5,18.0,14.4,118.33,19.5,19.5,9.0,13.22,11.77,1.46,11.74,14.49,3.47
Usual Days-remix,SP,ANOTHER,11,139,139,72,290,145,148,109,246,287,67,1364,0,33.0,7.7,55.6,50.6,13.7,5.9,0.0,110.28,17.38,16.22,2.32,12.34,11.69,0.65,4.85,4.12,0.43
うさ☆かめ 大戦争！,SP,ANOTHER,11,210,210,129,203,114,196,165,175,146,148,1276,0,12.3,27.4,31.0,6.2,5.6,12.9,0.0,112.0,17.5,16.62,4.38,11.28,10.14,1.14,12.59,13.78,1.16
