タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME
Holic,SP,ANOTHER,11,155,155,34,146,128,141,89,118,124,100,880,0,24.9,12.8,30.6,2.1,12.8,4.9,0.0,83.12
R5,SP,ANOTHER,11,180,180,48,275,76,81,97,76,105,131,889,0,1.0,47.4,0.7,54.4,11.5,5.3,0.0,86.0
CHECKING YOU OUT,SP,ANOTHER,11,108,216,205,123,51,79,74,66,57,45,700,3,11.3,11.5,17.0,1.8,1.6,62.0,0.0,98.88
Clione†,SP,ANOTHER,11,148,148,22,208,124,161,152,164,116,155,1102,0,24.4,7.7,46.4,9.3,2.8,1.8,44.4,116.75
G2,SP,ANOTHER,11,170,170,52,380,60,145,128,121,104,198,1188,0,23.2,20.6,8.8,29.5,45.4,4.8,0.0,113.82
Linus,SP,ANOTHER,11,160,176,39,198,269,136,146,135,100,82,1105,16,10.4,35.8,18.8,12.6,4.0,3.1,0.0,105.86
NEMESIS,SP,ANOTHER,11,164,164,52,167,90,164,114,80,142,164,973,0,23.2,6.0,44.1,14.8,10.7,5.7,0.0,117.07
Take It Easy,SP,ANOTHER,11,205,205,55,215,146,188,138,164,133,243,1282,0,3.1,44.5,3.7,6.4,7.3,4.7,0.0,122.34
Spica,SP,ANOTHER,11,128,128,51,159,146,224,182,174,129,102,1167,0,19.0,4.9,53.6,26.4,51.7,5.6,0.0,98.9
stoic,SP,ANOTHER,11,155,155,46,209,181,235,148,149,165,169,1302,0,41.6,5.7,37.0,6.7,22.5,3.7,0.0,111.77
Blame,SP,ANOTHER,11,155,155,34,225,118,176,105,131,100,91,980,0,20.7,9.2,33.5,15.4,25.1,3.1,0.0,102.38
Giudecca,SP,ANOTHER,11,155,155,71,274,179,162,174,147,175,199,1381,0,39.9,2.3,58.6,13.9,5.0,5.9,0.0,111.38
Halfway of promise,SP,ANOTHER,11,140,140,208,180,31,175,61,124,77,84,940,0,3.1,26.9,3.6,6.4,11.1,45.3,0.0,114.0
murmur twins,SP,ANOTHER,11,174,174,58,228,167,198,180,153,123,100,1207,0,18.8,17.0,39.1,10.7,13.7,5.8,0.0,110.68
rainbow flyer,SP,ANOTHER,11,148,148,36,147,153,165,151,133,142,154,1081,0,33.3,8.6,44.4,16.7,11.2,3.1,0.0,116.75
xenon,SP,ANOTHER,11,158,158,49,236,175,201,205,190,156,167,1379,0,54.7,2.2,48.3,9.7,0.6,3.4,0.0,104.33
quasar,SP,ANOTHER,11,155,155,22,223,110,134,142,174,151,205,1161,0,38.0,2.5,55.0,5.9,1.2,1.9,0.0,117.87
RISLIM -Remix-,SP,ANOTHER,11,132,132,61,147,116,123,191,115,103,103,959,0,15.5,28.8,15.6,12.1,44.8,9.7,0.0,103.52
SWEETEST SAVAGE,SP,ANOTHER,11,114,114,181,170,44,166,50,115,79,125,930,0,16.7,6.9,19.4,11.6,49.7,37.7,0.0,104.56
Debtty Daddy,SP,ANOTHER,11,155,155,121,285,157,154,162,160,126,206,1371,0,23.2,19.9,30.3,4.0,9.4,10.2,0.0,120.77
Love Is Eternity,SP,ANOTHER,11,140,140,42,218,153,232,175,158,113,124,1215,0,32.4,3.9,59.5,9.6,0.3,3.5,0.0,119.67
Lucy,SP,ANOTHER,11,156,156,47,272,135,149,159,180,145,80,1167,0,18.9,28.9,12.5,5.2,26.6,4.5,0.0,113.84
No.13,SP,ANOTHER,11,172,172,84,317,177,200,196,201,233,199,1607,0,47.3,9.2,46.6,13.9,3.5,6.5,0.0,114.06
rainbow rainbow,SP,ANOTHER,11,177,177,52,267,200,172,173,170,137,206,1377,0,18.8,41.2,24.0,11.6,15.3,4.4,0.0,110.84
SPACE FIGHT,SP,ANOTHER,11,139,139,52,166,186,125,214,119,130,142,1134,0,24.7,23.4,37.4,6.7,17.9,5.0,0.0,100.14
1st Samurai,SP,ANOTHER,11,175,200,133,254,132,173,167,161,173,190,1383,2,27.0,13.6,42.5,14.9,9.0,13.0,0.0,104.48
ANDROMEDA,SP,ANOTHER,11,150,150,26,315,186,191,160,191,175,202,1446,0,44.8,7.3,49.9,24.4,7.0,1.8,0.0,128.0
Be quiet,SP,ANOTHER,11,150,150,90,243,82,114,160,114,148,163,1114,0,21.6,15.8,32.6,9.9,23.7,8.8,0.0,112.0
BLOCKS,SP,ANOTHER,11,141,141,23,197,121,122,108,152,122,155,1000,0,30.1,12.9,38.3,35.6,14.0,2.1,0.0,95.31
Click Again,SP,ANOTHER,11,137,137,120,204,72,131,118,138,174,140,1097,0,15.6,18.3,19.6,24.4,65.0,10.8,0.0,112.11
FAKE TIME,SP,HYPER,11,200,200,55,194,57,161,109,136,116,88,916,0,5.0,15.9,16.9,11.7,13.1,5.2,0.0,100.8
GENOCIDE,SP,ANOTHER,11,175,175,59,264,153,135,167,150,123,171,1222,0,28.5,10.7,45.1,25.6,7.2,6.5,0.0,93.25
KEY,SP,ANOTHER,11,212,212,35,353,127,244,164,176,140,197,1436,0,2.9,48.9,1.3,0.0,14.7,2.6,0.0,118.58
RED ZONE,SP,ANOTHER,11,165,165,56,242,127,201,128,181,100,149,1184,0,23.0,19.0,39.8,12.8,4.4,6.7,0.0,103.27
RESONATE 1794,SP,ANOTHER,11,160,160,79,183,97,137,126,125,84,120,951,0,21.8,20.4,20.5,13.4,2.2,8.1,0.0,123.0
Secret of Love,SP,ANOTHER,11,162,162,31,164,110,156,155,140,127,136,1019,0,21.2,13.2,33.5,10.6,3.0,2.7,0.0,112.59
spiral galaxy,SP,ANOTHER,11,154,154,46,289,134,182,163,204,165,127,1310,0,32.8,9.0,44.9,31.3,2.3,3.9,0.0,124.67
Wonder Bullfighter,SP,ANOTHER,11,126,126,241,216,65,128,118,126,73,95,1062,0,16.1,15.2,26.2,6.8,2.4,55.0,0.0,119.04
"ピアノ協奏曲第１番""蠍火""",SP,HYPER,11,165,188,50,135,163,181,176,167,149,90,1111,19,19.4,13.3,38.2,6.7,26.5,5.8,0.0,124.71
Aurora,SP,ANOTHER,11,181,181,62,207,143,170,192,161,169,176,1280,0,36.4,24.5,24.3,8.6,2.2,5.8,0.0,111.38
CaptivAte～浄化～,SP,ANOTHER,11,160,160,118,189,164,154,162,159,164,133,1243,0,14.7,39.7,19.9,10.1,4.7,10.5,0.0,124.87
INAZUMA,SP,ANOTHER,11,148,148,35,245,127,202,185,179,198,197,1368,0,37.2,2.7,61.8,54.8,4.0,2.7,0.0,108.64
Little Little Princess,SP,ANOTHER,11,180,212,73,196,185,204,221,221,201,119,1420,2,10.7,32.8,18.5,4.4,9.5,6.4,0.0,120.2
Pollinosis,SP,ANOTHER,11,145,145,83,199,86,183,173,211,160,183,1278,0,28.2,21.9,50.0,69.3,6.2,6.5,0.0,114.2
Scripted Connection⇒ H mix,SP,ANOTHER,11,151,151,56,206,94,270,96,266,121,166,1275,0,39.4,2.5,49.1,29.5,15.2,5.7,0.0,108.07
Xepher,SP,ANOTHER,11,170,170,52,263,170,244,169,261,146,215,1520,0,31.6,15.9,57.3,20.2,5.7,4.3,0.0,117.88
100% minimoo-G,SP,ANOTHER,11,252,252,121,356,10,39,16,306,16,39,903,0,9.0,2.9,9.2,39.5,90.7,13.8,0.0,112.5
ラクエン,SP,ANOTHER,11,99,198,231,240,44,118,92,98,117,94,1034,3,22.7,10.1,22.7,8.4,11.6,44.1,0.0,115.15
合体せよ！ストロングイェーガー!!(Ryu☆ remix),SP,ANOTHER,11,155,155,65,228,48,156,124,135,111,105,972,0,24.8,23.8,22.0,14.5,15.1,5.9,0.0,111.48
Broadbanded,SP,ANOTHER,11,140,140,44,251,137,158,129,117,77,106,1019,0,56.5,5.7,24.7,19.9,3.7,4.2,0.0,116.57
CONTRACT,SP,ANOTHER,11,180,180,82,187,80,120,141,170,195,81,1056,0,28.1,8.8,38.5,5.8,2.7,7.3,0.0,101.66
D.C.fish,SP,ANOTHER,11,155,155,36,242,135,154,146,143,132,190,1178,0,27.7,21.8,29.6,22.7,7.1,2.9,0.0,113.8
Ganymede,SP,ANOTHER,11,72,82,44,190,215,163,164,140,117,166,1199,5,18.0,3.7,42.3,92.8,99.3,3.9,0.0,123.08
Harmony and Lovely,SP,ANOTHER,11,135,135,9,162,161,172,165,183,145,130,1127,0,35.9,12.0,45.8,36.6,5.8,0.8,0.0,109.22
MINT,SP,ANOTHER,11,150,150,22,211,135,147,159,129,176,179,1158,0,32.2,14.8,47.7,25.9,2.1,1.8,0.0,89.6
Sun Field,SP,ANOTHER,11,152,152,87,267,88,127,168,207,171,119,1234,0,26.5,20.9,36.3,8.2,4.3,9.7,0.0,104.5
The Dirty of Loudness,SP,ANOTHER,11,165,165,66,226,133,206,165,188,152,191,1327,0,34.4,46.5,35.6,22.5,9.2,5.8,0.0,98.9
tripping contact(teranoid&MC Natsack Remix),SP,ANOTHER,11,187,187,87,233,130,150,194,151,139,174,1258,0,14.2,22.3,28.4,9.0,4.0,7.0,0.0,113.74
TYPE MARS(G-Style Mix),SP,ANOTHER,11,159,159,54,296,117,209,159,171,119,112,1237,0,29.0,6.8,44.0,21.1,16.8,4.6,0.0,114.71
waxing and wanding,SP,ANOTHER,11,191,191,62,203,189,209,193,199,195,207,1457,0,15.0,57.4,12.3,1.0,8.2,6.5,0.0,112.46
華蝶風雪,SP,ANOTHER,11,199,199,45,270,173,228,165,204,191,224,1500,0,13.3,44.8,11.8,1.7,19.7,3.8,0.0,120.82
嘆きの樹,SP,HYPER,11,160,160,57,229,135,179,189,206,148,138,1281,0,38.4,18.2,32.8,21.8,8.7,4.9,0.0,111.37
"Blind Justice ～Torn souls, Hurt Faiths～",SP,ANOTHER,11,137,165,30,220,162,188,163,193,149,140,1245,3,23.6,33.1,16.5,3.3,10.9,2.3,0.0,122.96
Fascination MAXX,SP,HYPER,11,100,400,31,303,46,145,120,67,84,80,876,18,1.8,28.5,8.7,4.2,92.0,3.4,0.0,99.45
GOLD RUSH,SP,ANOTHER,11,162,162,89,167,156,170,140,131,166,180,1199,0,8.3,53.7,6.4,23.0,19.3,8.4,0.0,92.03
INORI,SP,ANOTHER,11,146,146,31,299,178,227,325,243,194,117,1614,0,28.2,2.6,82.1,14.5,3.7,2.0,0.0,138.08
KAMAITACHI,SP,ANOTHER,11,165,165,78,267,193,173,186,187,156,128,1368,0,44.9,4.0,44.0,8.8,1.9,5.9,0.0,112.0
LASER CRUSTER,SP,HYPER,11,152,152,73,213,95,214,175,201,102,177,1250,0,23.1,2.0,58.6,28.0,5.9,6.6,0.0,113.58
Second Heaven,SP,ANOTHER,11,149,149,55,189,107,159,145,161,149,104,1069,0,11.7,32.2,19.2,1.3,25.4,5.4,0.0,112.75
Sense 2007,SP,HYPER,11,140,140,175,245,95,152,140,136,93,143,1179,0,23.4,12.1,28.6,19.0,18.4,21.0,0.0,114.85
smile,SP,ANOTHER,11,189,189,139,295,151,230,181,178,143,147,1464,0,12.7,33.4,20.5,4.8,8.0,14.1,0.0,123.8
the shadow,SP,ANOTHER,11,156,156,59,286,177,203,192,193,157,213,1480,0,33.9,7.6,51.9,18.2,9.2,4.3,0.0,127.69
TRANOID,SP,ANOTHER,11,130,190,60,221,90,160,154,198,137,121,1141,4,15.2,8.6,60.7,39.4,26.7,5.8,0.0,88.95
VANESSA,SP,HYPER,11,185,185,109,134,120,125,91,125,137,97,938,0,29.3,1.3,50.5,3.2,6.3,12.6,0.0,88.54
"Anisakis -somatic mutation type ""Forza""-",SP,ANOTHER,11,185,185,86,245,193,179,172,210,193,165,1443,0,22.5,37.4,29.6,5.7,2.1,6.1,0.0,130.05
Blue Rain,SP,ANOTHER,11,144,144,35,221,129,159,170,148,128,159,1149,0,26.5,12.4,51.1,12.5,1.0,3.1,0.0,107.29
Digitank System,SP,ANOTHER,11,128,128,264,250,20,156,59,181,86,80,1096,0,9.5,35.8,7.8,6.0,4.8,68.7,0.0,114.37
Do it!! Do it!!,SP,ANOTHER,11,300,300,131,320,36,135,101,87,92,85,987,0,17.4,10.0,38.8,50.8,33.6,16.6,0.0,105.6
four pieces of heaven,SP,ANOTHER,11,125,195,93,159,172,189,190,164,140,118,1225,15,23.1,7.9,52.2,10.7,0.7,11.0,0.0,107.04
in the Sky,SP,ANOTHER,11,180,180,74,241,192,183,141,185,113,150,1279,0,17.3,55.8,5.4,12.1,8.2,5.9,0.0,113.33
MENDES,SP,HYPER,11,168,168,71,227,190,188,167,166,167,177,1353,0,31.9,16.1,51.5,16.9,6.5,6.8,0.0,108.57
MENTAL MELTDOWN,SP,ANOTHER,11,145,145,128,216,180,208,159,229,138,185,1443,0,31.9,11.2,42.9,18.2,30.7,12.7,0.0,112.55
PARANOiA ～HADES～,SP,HYPER,11,75,300,34,239,64,135,74,145,99,164,954,4,29.7,7.2,39.2,23.7,5.0,3.2,0.0,97.2
"satellite020712 from ""CODED ARMS""",SP,ANOTHER,11,154,154,110,229,131,196,99,220,132,176,1293,0,27.0,19.9,38.3,7.2,3.9,12.0,0.0,108.31
SOUND OF GIALLARHORN,SP,ANOTHER,11,184,184,61,407,138,226,141,236,242,217,1668,0,19.2,40.8,19.0,11.2,19.6,4.7,0.0,127.17
State Of The Art,SP,ANOTHER,11,155,155,29,268,187,221,225,240,190,210,1570,0,43.2,4.4,63.1,11.3,5.6,2.6,0.0,119.12
STEEL NEEDLE,SP,ANOTHER,11,205,205,81,333,75,178,159,164,147,132,1269,0,12.2,18.7,29.9,24.2,15.4,8.7,0.0,113.56
switch,SP,ANOTHER,11,152,152,48,183,100,150,151,164,106,167,1069,0,30.1,22.1,34.5,5.4,7.7,5.5,0.0,91.57
THE DEEP STRIKER,SP,ANOTHER,11,173,173,130,263,155,181,147,225,134,293,1528,0,25.4,21.6,41.2,17.6,17.2,10.1,0.0,116.53
Time to Air,SP,ANOTHER,11,191,191,102,267,148,210,217,190,178,146,1458,0,9.5,51.6,9.9,5.0,19.1,10.1,0.0,111.83
Übertreffen,SP,ANOTHER,11,174,174,56,204,151,172,189,168,188,152,1280,0,28.2,7.5,62.8,8.5,1.1,4.7,0.0,91.72
2 tribe 4 K,SP,ANOTHER,11,140,140,71,239,136,196,153,193,165,249,1402,0,25.2,19.8,50.2,17.6,9.0,7.1,0.0,118.17
ALL MY TURN -このターンに、オレの全てを賭ける-,SP,ANOTHER,11,170,170,66,248,90,201,180,198,171,160,1314,0,27.5,11.5,47.3,28.4,14.7,5.5,0.0,113.29
Arabian Rave Night,SP,ANOTHER,11,180,180,50,258,195,222,214,194,195,176,1504,0,37.4,20.1,38.0,10.9,3.9,3.6,0.0,117.33
B4U(BEMANI FOR YOU MIX),SP,ANOTHER,11,170,170,116,328,200,207,257,201,270,231,1810,0,34.0,32.1,39.0,6.6,5.9,9.0,0.0,118.85
CaptivAte2 ～覚醒～,SP,ANOTHER,11,175,175,57,221,151,163,150,164,174,141,1221,0,33.8,13.7,44.7,8.8,2.9,5.2,0.0,106.11
HYPERION,SP,ANOTHER,11,150,150,59,247,177,208,163,189,199,143,1385,0,38.5,1.3,59.8,13.5,0.4,4.8,0.0,118.4
Just a Little Smile,SP,ANOTHER,11,136,136,256,206,106,121,163,148,135,137,1272,0,24.2,11.4,26.9,8.8,12.5,39.6,0.0,116.36
Kung-fu Empire,SP,ANOTHER,11,177,177,76,227,247,247,240,245,170,205,1657,0,27.4,21.5,45.6,17.7,8.8,5.6,0.0,127.45
naughty girl@Queen's Palace,SP,ANOTHER,11,145,145,292,166,76,102,126,100,120,106,1088,0,5.7,23.9,10.3,0.0,1.8,55.1,0.0,111.51
Programmed World,SP,ANOTHER,11,153,153,43,241,131,167,122,142,133,182,1161,0,25.2,12.3,51.0,4.3,2.3,3.4,0.0,116.37
Secrets,SP,ANOTHER,11,150,150,135,283,198,216,218,197,177,168,1592,0,30.8,19.0,42.5,16.6,16.9,12.0,0.0,115.9
V2,SP,ANOTHER,11,150,150,64,277,230,263,251,292,212,221,1810,0,34.6,21.0,55.2,46.5,7.3,3.7,0.0,123.4
"You'll say ""Now!""",SP,ANOTHER,11,155,155,45,214,175,174,172,161,167,168,1276,0,32.5,5.3,60.1,32.2,5.3,4.2,0.0,92.8
卑弥呼,SP,HYPER,11,83,185,46,151,186,215,234,254,183,173,1442,6,30.1,6.2,60.1,10.0,18.2,3.7,0.0,126.09
ミッドナイト堕天使,SP,ANOTHER,11,150,150,46,263,209,208,189,170,139,174,1398,0,34.4,18.2,48.0,11.7,1.9,4.3,0.0,112.0
天空脳番長危機十六連打,SP,ANOTHER,11,150,150,74,242,112,168,151,207,195,174,1323,0,45.3,2.7,49.8,9.9,1.2,5.6,0.0,111.9
AIR RAID FROM THA UNDAGROUND,SP,ANOTHER,11,180,180,23,320,109,170,124,157,113,173,1189,0,28.5,10.4,34.6,19.5,16.3,1.8,0.0,117.33
Almagest,SP,HYPER,11,178,178,63,139,151,184,213,165,144,87,1146,0,25.7,5.8,57.5,4.9,2.4,5.8,22.1,93.2
Almagest (HCN Ver.),SP,HYPER,11,178,178,63,139,151,184,213,165,144,87,1146,0,25.7,5.8,57.5,4.9,2.4,5.8,22.1,93.2
bloomin' feeling,SP,ANOTHER,11,181,181,73,236,164,180,167,194,136,163,1313,0,27.0,27.4,28.9,6.9,3.3,6.0,7.5,95.46
D,SP,ANOTHER,11,30,240,88,199,153,179,180,174,141,199,1313,21,29.9,6.5,52.1,41.9,24.9,9.9,11.6,115.55
DAWN -THE NEXT ENDEAVOUR-,SP,ANOTHER,11,183,183,28,307,146,248,203,219,212,214,1577,0,15.0,29.3,10.6,11.4,32.1,1.8,0.0,141.63
DESIRE,SP,ANOTHER,11,175,175,86,265,173,174,198,187,179,184,1446,0,32.5,19.2,36.0,10.6,1.9,6.9,0.0,111.42
DROP,SP,ANOTHER,11,152,152,54,271,140,184,179,206,139,164,1337,0,25.6,10.3,54.3,29.3,1.6,4.0,0.0,113.68
Elisha,SP,ANOTHER,11,185,185,33,208,168,128,154,155,142,164,1152,0,10.7,24.1,8.8,1.8,9.8,2.3,48.9,119.33
Empire State Glory,SP,ANOTHER,11,173,173,61,195,193,188,197,185,154,156,1329,0,27.4,19.5,35.0,3.6,1.3,6.4,0.0,112.28
Evans -prototype-,SP,HYPER,11,185,185,114,242,88,151,139,164,124,99,1121,0,9.3,26.0,16.8,6.5,10.2,10.7,0.0,102.24
GALGALIM,SP,ANOTHER,11,165,165,113,281,68,210,114,174,95,153,1208,0,33.7,9.0,33.0,8.7,5.4,10.1,0.0,104.72
MIRACLE MEETS,SP,ANOTHER,11,160,160,42,199,140,155,177,138,165,112,1128,0,1.5,40.1,4.5,0.0,17.3,3.0,58.0,118.31
NEW SENSATION -もう、あなたしか見えない-,SP,ANOTHER,11,200,200,56,340,119,177,185,176,144,160,1357,0,14.8,36.1,10.0,3.4,5.6,5.4,20.7,117.45
Programmed Sun,SP,ANOTHER,11,144,144,75,234,169,187,155,183,150,156,1309,0,28.7,9.0,49.5,12.2,0.9,6.7,15.4,121.66
Raison d'être～交差する宿命～,SP,ANOTHER,11,155,175,102,244,145,197,204,175,189,133,1389,2,23.5,11.4,55.3,8.2,1.2,7.6,0.0,124.13
Session 1 -Genesis-,SP,ANOTHER,11,79,178,39,184,142,176,161,224,176,138,1240,2,22.3,22.2,45.6,13.4,1.5,3.3,44.4,103.68
THE LAST STRIKER,SP,ANOTHER,11,185,185,25,263,181,206,127,188,159,178,1327,0,27.3,17.6,33.8,8.4,5.5,1.8,0.0,119.35
Aegis,SP,ANOTHER,11,162,162,104,227,141,132,142,159,123,174,1202,0,26.7,19.8,29.1,13.1,8.2,11.4,22.2,101.66
ANTHEM LANDING,SP,ANOTHER,11,151,151,28,253,200,226,182,217,163,215,1484,0,32.0,15.9,55.7,17.1,3.2,2.3,0.0,113.64
Believe In Me,SP,ANOTHER,11,170,170,56,210,131,185,164,201,128,138,1213,0,21.6,23.3,24.5,5.0,6.7,5.2,0.0,115.76
Bounce Bounce Bounce,SP,ANOTHER,11,116,116,171,155,150,131,142,197,213,134,1293,0,14.5,25.6,17.9,28.1,58.2,33.5,0.0,125.94
BROKEN EDEN,SP,ANOTHER,11,162,162,52,243,46,148,201,184,179,129,1182,0,26.1,7.3,53.1,17.2,12.5,5.1,0.0,107.03
Destiny Sword,SP,ANOTHER,11,155,155,83,259,134,198,127,161,145,106,1213,0,37.3,15.8,29.8,16.6,8.9,8.4,0.0,99.29
Energy Drive,SP,ANOTHER,11,170,170,36,180,141,170,138,174,146,137,1122,0,25.1,14.7,31.8,13.9,4.7,2.6,30.0,118.58
Golden Palms†,SP,ANOTHER,11,130,130,90,208,104,170,155,193,154,166,1240,0,19.7,20.0,30.6,6.1,4.8,9.9,58.1,118.12
Kailua,SP,ANOTHER,11,146,146,47,210,131,185,123,151,112,166,1125,0,15.4,15.5,35.3,40.5,2.9,5.9,106.7,106.84
Kailua (HCN Ver.),SP,ANOTHER,11,146,146,47,210,131,185,123,151,112,166,1125,0,15.4,15.5,35.3,40.5,2.9,5.9,106.7,106.84
Let The Track Flow,SP,ANOTHER,11,175,175,47,207,127,245,173,231,190,147,1367,0,30.7,15.7,44.4,58.2,6.5,3.8,0.0,109.71
Never Fade Away,SP,ANOTHER,11,170,170,71,278,193,200,190,198,198,207,1535,0,35.6,22.2,46.9,4.4,1.8,6.5,0.0,117.08
PARADISE LOST,SP,HYPER,11,200,200,140,216,129,154,190,164,137,87,1217,0,18.7,12.7,9.0,16.2,13.5,17.0,30.3,124.2
perditus†paradisus,SP,HYPER,11,172,172,69,141,183,205,200,230,184,133,1345,0,24.1,2.0,65.5,27.2,7.2,7.7,43.2,124.18
reunion,SP,HYPER,11,184,184,56,216,100,169,141,237,144,176,1239,0,14.2,30.0,35.3,17.0,4.4,4.9,0.0,113.64
Rock Da House,SP,ANOTHER,11,175,175,70,233,133,134,170,152,144,92,1128,0,18.0,31.6,19.7,2.3,0.8,7.1,0.0,101.82
SABER WING,SP,ANOTHER,11,37,444,47,318,126,202,197,192,170,186,1438,14,4.1,67.2,10.4,5.8,3.8,4.1,0.0,101.6
Sakura Reflection,SP,ANOTHER,11,181,181,41,201,145,169,163,181,167,123,1190,0,4.5,59.3,8.5,0.0,3.8,4.8,26.4,99.28
STELLAR WIND,SP,ANOTHER,11,162,162,72,257,176,171,181,187,142,184,1370,0,34.7,8.3,44.1,38.1,10.6,6.6,0.0,111.11
THE BLACK KNIGHT,SP,ANOTHER,11,154,154,23,260,202,217,199,214,197,176,1488,0,37.9,8.7,54.8,26.1,8.0,1.9,27.2,120.0
THE FALLEN,SP,ANOTHER,11,167,167,97,237,150,184,178,193,154,184,1377,0,17.0,33.1,35.1,23.0,11.1,8.7,0.0,101.31
Tropical April,SP,ANOTHER,11,182,182,97,325,110,197,153,177,144,192,1395,0,6.2,49.7,19.9,11.3,5.2,10.1,0.0,103.18
ZETA ～素数の世界と超越者～,SP,ANOTHER,11,90,180,55,215,197,221,249,245,209,192,1583,3,24.9,36.8,35.9,4.2,3.1,3.6,0.0,128.0
旅人リラン,SP,ANOTHER,11,155,155,38,230,194,212,213,199,169,90,1345,0,22.6,16.8,36.3,8.4,41.3,4.2,0.0,117.29
夕焼け～Fading Day～,SP,ANOTHER,11,174,174,75,278,152,228,197,176,170,144,1420,0,28.8,15.1,50.0,7.1,0.5,5.6,0.0,111.72
Castle on the Moon,SP,ANOTHER,11,191,191,82,189,152,172,183,188,144,121,1231,0,29.4,12.9,34.7,13.7,7.3,8.7,0.0,91.41
I'm so Happy,SP,ANOTHER,11,181,181,110,182,143,154,153,149,132,164,1187,0,26.0,26.7,27.5,11.8,3.1,8.9,0.0,92.81
In the Blackest Den,SP,ANOTHER,11,177,177,125,216,150,193,194,192,166,136,1372,0,19.6,11.4,47.9,11.9,1.8,15.1,0.0,107.62
prompt,SP,ANOTHER,11,198,198,27,348,115,242,171,184,194,139,1420,0,10.8,35.0,28.0,9.8,12.3,2.0,0.0,121.13
QUANTUM TELEPORTATION,SP,ANOTHER,11,152,152,71,256,186,213,202,189,165,208,1490,0,45.6,3.6,51.8,1.8,1.3,6.1,0.0,125.52
Quick Silver,SP,ANOTHER,11,172,172,97,236,144,205,179,194,130,168,1353,0,23.7,30.9,32.9,6.2,4.2,8.3,13.5,110.55
