タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME
Scharfrichter,SP,ANOTHER,11,217,217,57,246,206,194,188,196,196,189,1472,0,7.3,46.4,8.3,5.2,4.9,4.2,30.8,121.65
SHADE,SP,ANOTHER,11,151,151,28,219,161,193,215,242,202,204,1464,0,30.1,25.0,45.8,23.4,12.4,2.0,0.0,117.41
Snow Goose,SP,ANOTHER,11,200,200,10,234,163,174,191,200,145,121,1238,0,30.2,12.7,49.6,10.8,0.5,0.9,0.0,95.1
TITANS RETURN,SP,ANOTHER,11,194,194,103,184,174,152,152,160,154,196,1275,0,15.2,28.4,30.8,13.5,6.2,12.4,0.0,98.96
24th Century BOY,SP,ANOTHER,11,168,168,43,247,153,203,229,198,157,226,1456,0,22.6,24.9,45.0,17.2,5.7,3.2,0.0,115.0
532nm,SP,ANOTHER,11,177,177,60,243,164,195,192,192,153,150,1349,0,34.8,20.2,43.5,16.2,3.1,4.4,0.0,93.22
蛇神,SP,ANOTHER,11,170,170,48,221,185,174,215,202,199,194,1438,0,24.8,15.2,46.4,38.3,16.1,3.3,24.6,119.91
君のハートにロックオン,SP,ANOTHER,11,260,260,66,214,143,212,207,217,151,153,1363,0,32.0,2.2,67.6,8.7,3.0,5.4,0.0,118.61
ユミル,SP,ANOTHER,11,164,164,78,234,157,187,203,201,190,184,1434,0,28.0,19.9,41.8,7.4,12.2,7.0,0.0,115.97
Beastie Starter,SP,ANOTHER,11,190,190,90,251,97,174,128,122,90,169,1121,0,9.4,9.1,28.2,57.4,26.3,10.7,0.0,106.1
CONCEPTUAL,SP,ANOTHER,11,198,198,69,287,148,173,177,211,177,149,1391,0,24.3,29.0,28.8,12.9,8.4,6.1,0.0,110.15
Cookie Bouquets,SP,ANOTHER,11,205,205,79,299,214,259,216,230,190,227,1714,0,12.1,53.7,12.1,2.4,5.8,6.4,0.0,123.95
examination leave,SP,ANOTHER,11,180,180,46,315,224,240,234,230,206,217,1712,0,15.4,73.7,28.2,4.5,7.7,2.8,0.0,106.83
FLOWER,SP,ANOTHER,11,173,173,89,225,163,194,201,209,221,158,1460,0,25.9,19.7,39.7,12.0,3.7,8.2,17.2,119.13
Illegal Function Call,SP,ANOTHER,11,260,260,60,268,153,197,207,187,172,154,1398,0,33.2,2.2,58.1,25.8,32.3,4.5,0.0,119.46
Light and Cyber…,SP,ANOTHER,11,181,181,50,233,186,225,239,220,208,218,1579,0,44.0,16.2,44.9,2.0,3.6,4.1,0.0,117.34
New Decade IIDX Edition,SP,ANOTHER,11,200,200,129,268,146,198,210,200,175,213,1539,0,20.5,30.7,24.4,11.9,8.8,13.5,0.0,111.6
rumrum triplets,SP,ANOTHER,11,192,192,63,264,206,215,208,207,200,178,1541,0,25.3,22.8,37.5,4.5,4.2,5.0,0.0,123.59
S!ck,SP,ANOTHER,11,177,177,140,220,146,185,187,168,164,163,1373,0,25.9,17.8,30.0,12.2,2.8,13.1,4.1,119.32
Saturn,SP,ANOTHER,11,155,155,32,233,155,229,202,230,170,81,1332,0,30.2,16.1,40.5,5.6,23.9,3.1,0.0,107.22
Synergy For Angels,SP,ANOTHER,11,160,160,48,242,157,197,161,220,187,188,1400,0,36.4,13.8,47.2,15.3,1.7,4.5,0.0,110.75
