タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME,MAXNPS,MAXNPS_BW,MAXNPS_S,MEANNPS,MEANNPS_BW,MEANNPS_S,VARNPS,VARNPS_BW,VARNPS_S
RED ZONE†,SP,ANOTHER,12,165,165,82,259,217,225,195,221,168,199,1566,0,25.8,30.6,48.9,15.7,5.8,8.7,1.5,103.27,22.0,19.25,5.5,14.95,14.17,0.78,18.84,18.15,1.1
"ピアノ協奏曲第１番""蠍火""",SP,ANOTHER,12,165,188,86,203,202,214,229,202,174,104,1414,18,18.0,15.4,46.6,23.0,38.9,8.9,0.0,124.71,26.63,23.5,6.13,13.36,12.55,0.81,39.37,31.12,1.43
rage against usual,SP,ANOTHER,12,152,152,158,204,215,195,181,238,178,158,1527,0,25.8,16.5,37.1,47.3,25.4,12.7,0.0,118.81,31.67,31.03,2.53,12.56,11.26,1.3,31.53,29.69,0.6
SCREAM SQUAD,SP,ANOTHER,12,220,220,152,176,110,137,118,125,115,140,1073,0,11.5,14.6,12.4,16.0,3.0,20.2,0.0,106.9,21.08,17.42,7.33,9.94,8.53,1.41,16.25,10.45,5.34
Scripted Connection⇒ A mix,SP,ANOTHER,12,151,151,44,263,148,292,168,296,168,196,1575,0,36.1,3.8,62.9,38.6,21.3,3.1,0.0,116.02,20.76,20.13,3.15,13.39,13.02,0.37,13.91,12.98,0.43
冥,SP,ANOTHER,12,66,200,48,261,332,323,308,297,246,185,2000,19,27.6,21.9,61.1,32.3,23.5,3.2,0.0,123.36,34.83,28.5,6.33,16.61,16.22,0.38,37.62,34.31,0.79
Concertino in Blue,SP,ANOTHER,12,103,155,185,188,143,193,173,170,153,106,1311,16,18.3,12.5,44.0,30.4,46.6,20.0,0.0,95.2,19.25,18.67,5.81,10.79,9.29,1.5,15.82,14.15,1.07
tripping contact,SP,ANOTHER,12,182,182,93,315,100,212,159,173,121,187,1360,0,28.3,16.5,26.4,19.6,5.4,6.5,0.0,122.63,26.54,23.51,3.03,10.97,10.22,0.75,15.41,14.06,0.69
カゴノトリ～弐式～,SP,ANOTHER,12,140,140,22,179,173,183,192,219,175,182,1325,0,28.7,8.8,52.9,38.1,6.7,1.6,0.0,114.64,21.58,21.58,2.33,10.89,10.71,0.18,28.45,28.83,0.13
嘆きの樹,SP,ANOTHER,12,160,160,84,295,269,246,294,262,278,272,2000,0,33.3,28.7,63.4,50.1,11.7,5.7,0.0,111.37,33.33,30.67,4.0,16.46,15.77,0.69,49.85,45.95,1.06
Candy Galy,SP,ANOTHER,12,184,184,71,379,176,246,224,236,232,234,1798,0,24.3,37.0,41.3,10.1,5.5,5.0,0.0,119.34,26.07,23.0,4.6,14.98,14.39,0.59,18.69,16.78,1.1
Fascination MAXX,SP,ANOTHER,12,100,400,47,313,88,190,182,99,186,208,1313,17,2.0,48.7,19.6,51.9,85.0,4.0,0.0,99.45,23.33,21.67,3.33,14.02,13.52,0.5,15.74,15.19,0.7
FIRE FIRE,SP,ANOTHER,12,150,150,160,267,154,152,185,191,186,110,1405,0,23.5,6.3,54.3,15.9,4.7,16.0,0.0,120.0,23.75,21.25,5.0,11.55,10.24,1.32,35.22,31.02,1.75
KAMAITACHI†,SP,ANOTHER,12,165,165,203,332,268,233,250,243,224,247,2000,0,35.6,3.7,67.9,61.7,19.5,26.0,0.0,112.0,36.44,33.0,8.25,17.41,15.64,1.77,63.44,52.57,3.57
LASER CRUSTER,SP,ANOTHER,12,152,152,93,235,190,267,202,238,201,218,1644,0,25.6,12.2,66.3,29.5,18.4,6.5,0.0,113.58,20.27,20.27,1.9,14.46,13.64,0.82,26.24,25.12,0.4
Sense 2007,SP,ANOTHER,12,140,140,195,277,168,150,167,133,237,190,1517,0,24.3,11.3,36.5,18.2,47.9,19.8,0.0,114.85,23.92,19.25,4.67,12.82,11.18,1.65,23.87,15.44,3.11
VANESSA,SP,ANOTHER,12,185,185,101,208,135,148,165,174,164,133,1228,0,29.4,1.5,62.5,11.2,15.0,10.3,0.0,88.54,22.35,21.58,5.4,13.52,12.41,1.11,30.32,32.31,1.78
VANESSA†,SP,ANOTHER,12,185,185,150,218,201,248,255,240,249,210,1771,0,21.3,0.7,85.6,69.1,25.0,14.1,0.0,88.54,31.6,30.83,6.17,19.5,17.85,1.65,62.28,62.82,2.8
電人、暁に斃れる。,SP,ANOTHER,12,165,165,77,337,172,251,219,264,173,232,1725,0,32.7,6.5,63.9,31.0,16.6,4.8,0.0,119.27,22.0,21.31,3.44,14.12,13.49,0.63,16.08,13.97,0.57
ICARUS,SP,ANOTHER,12,126,251,91,244,103,183,145,180,175,180,1301,22,29.8,16.2,32.9,23.9,28.1,8.8,0.0,123.19,33.47,33.47,5.28,10.82,10.09,0.73,35.07,33.6,1.7
ICARUS†,SP,ANOTHER,12,126,251,115,258,328,284,273,253,247,242,2000,22,32.3,23.0,52.7,50.1,23.5,8.9,0.0,123.19,34.07,30.33,7.37,16.55,15.63,0.92,67.97,64.59,2.27
MENDES,SP,ANOTHER,12,168,168,118,281,243,255,193,302,187,252,1831,0,26.2,17.5,72.7,28.9,1.6,9.4,0.0,108.57,32.2,27.3,4.9,15.44,14.45,1.0,53.14,45.73,1.57
oratio,SP,ANOTHER,12,162,162,60,246,176,238,251,218,177,127,1493,0,41.2,15.7,41.7,26.1,5.0,5.3,0.0,128.24,27.0,27.0,3.38,12.0,11.52,0.48,43.06,40.78,0.51
PARANOiA ～HADES～,SP,ANOTHER,12,75,300,27,349,94,253,148,184,138,202,1395,3,27.9,8.5,63.8,72.4,19.0,2.1,0.0,97.2,26.25,26.25,3.75,14.47,14.18,0.29,24.91,24.4,0.42
Ristaccia,SP,ANOTHER,12,160,160,103,226,164,190,207,183,151,162,1386,0,23.5,21.8,52.8,16.9,13.0,8.1,0.0,116.62,22.67,20.67,2.67,10.62,9.83,0.79,35.22,29.94,0.68
THE DEEP STRIKER†,SP,ANOTHER,12,173,173,134,301,205,196,205,240,200,297,1778,0,24.3,24.4,46.4,25.2,27.8,9.5,0.0,116.53,25.95,23.07,3.6,15.08,13.94,1.14,27.13,23.49,1.32
TROOPERS,SP,ANOTHER,12,177,177,217,329,130,211,152,207,98,152,1496,0,7.8,40.2,20.6,12.9,8.7,21.4,0.0,113.89,20.65,16.96,5.9,12.98,11.1,1.88,8.46,5.54,3.75
少年A,SP,ANOTHER,12,90,192,112,165,207,245,229,200,192,99,1449,3,33.7,11.8,52.6,34.8,16.6,12.5,0.0,132.22,19.88,19.88,6.17,11.92,10.93,0.99,29.19,24.25,2.55
BITTER CHOCOLATE STRIKER,SP,ANOTHER,12,165,165,128,291,291,286,246,257,268,223,1990,0,26.0,12.1,73.8,66.0,17.3,7.6,0.0,128.0,26.12,22.69,3.44,15.37,14.38,0.99,41.6,37.03,1.07
Colorful Cookie,SP,ANOTHER,12,180,180,61,270,221,256,226,207,214,318,1773,0,42.5,29.0,33.2,11.8,14.3,5.5,0.0,110.5,30.75,30.0,6.75,16.02,15.47,0.55,36.12,34.58,0.92
Go Beyond!!,SP,ANOTHER,12,200,200,103,225,81,180,152,181,140,104,1166,0,18.9,12.4,47.1,26.5,10.7,12.6,0.0,109.2,30.83,30.83,5.0,10.45,9.53,0.92,91.63,88.43,1.95
THANK YOU FOR PLAYING†,SP,ANOTHER,12,45,170,34,243,186,225,217,216,207,206,1534,8,28.8,7.2,69.6,19.9,11.1,2.5,0.0,98.03,24.08,24.08,2.83,15.45,15.11,0.34,41.0,39.52,0.3
3y3s,SP,ANOTHER,12,191,191,216,229,243,267,247,277,199,193,1871,0,18.2,31.0,39.6,37.0,14.7,20.4,0.0,114.18,31.83,28.65,8.75,15.84,14.01,1.83,69.66,61.58,3.21
不沈艦CANDY,SP,ANOTHER,12,188,188,44,354,202,256,215,220,175,216,1682,0,14.4,37.2,46.2,41.4,5.4,3.4,0.0,116.8,25.85,25.07,3.13,14.17,13.8,0.37,35.4,34.02,0.33
卑弥呼,SP,ANOTHER,12,83,185,60,331,281,280,314,339,274,240,2119,5,31.6,6.4,73.3,37.3,40.6,4.3,0.0,126.09,41.63,39.31,4.62,15.36,14.92,0.44,81.56,75.54,0.72
Almagest,SP,ANOTHER,12,178,178,68,264,226,254,245,231,195,146,1629,0,32.4,6.7,73.7,26.8,5.2,5.3,24.8,93.2,29.67,25.96,3.71,16.78,16.08,0.7,32.39,31.31,0.93
Bad Maniacs,SP,ANOTHER,12,195,195,100,262,216,238,198,219,196,227,1656,0,27.7,24.4,51.9,19.6,3.4,7.4,0.0,116.92,28.44,26.81,4.88,13.87,13.03,0.84,81.0,77.53,0.89
DOMINION,SP,ANOTHER,12,196,196,110,389,139,203,196,156,282,161,1636,0,8.9,43.5,18.9,15.5,11.1,10.3,0.0,120.0,26.13,26.13,4.9,13.5,12.59,0.91,36.89,29.11,1.54
eRAseRmOToRpHAntOM,SP,ANOTHER,12,135,270,97,460,80,301,129,253,127,239,1686,1,34.4,8.5,53.7,74.6,22.0,10.2,0.0,136.0,20.25,19.12,9.0,12.91,12.11,0.8,14.54,17.51,2.45
Evans,SP,ANOTHER,12,185,185,154,280,167,249,144,177,137,132,1440,0,25.9,20.3,34.2,16.8,3.9,14.7,0.0,102.24,26.21,24.67,4.62,13.7,12.24,1.47,23.66,19.61,1.81
EXUSIA,SP,ANOTHER,12,188,188,116,399,206,253,249,261,240,240,1964,0,32.2,16.4,61.1,14.8,4.0,9.6,0.0,118.72,23.5,21.93,5.48,16.19,15.24,0.96,31.84,29.82,1.99
G59,SP,ANOTHER,12,170,170,75,393,275,292,252,241,259,213,2000,0,34.6,24.7,67.8,14.0,3.7,4.2,0.0,120.35,26.21,24.08,2.12,16.28,15.67,0.61,51.28,49.16,0.49
GOLDEN CROSS,SP,ANOTHER,12,150,150,48,260,235,241,235,241,255,250,1765,0,30.0,4.4,80.9,27.9,3.0,3.4,0.0,115.2,24.38,22.5,2.5,14.91,14.5,0.41,50.64,49.46,0.28
mosaic,SP,ANOTHER,12,188,188,133,291,213,205,186,194,172,115,1509,0,0.3,86.9,3.9,1.2,9.9,12.3,0.0,99.25,25.85,25.07,4.7,14.96,13.64,1.32,26.69,24.51,1.61
quell ～the seventh slave～,SP,ANOTHER,12,162,162,58,257,218,221,227,228,226,211,1646,0,33.2,4.7,71.1,35.2,4.1,4.8,0.0,101.06,31.05,31.05,3.38,15.87,15.31,0.56,39.55,38.9,0.51
Red. by Full Metal Jacket,SP,ANOTHER,12,158,158,483,288,148,170,124,124,194,112,1643,0,7.7,39.8,9.9,3.8,0.7,87.5,0.0,118.29,21.07,15.8,9.88,13.69,9.67,4.02,12.1,9.25,10.97
SOLID STATE SQUAD,SP,ANOTHER,12,155,155,146,297,209,235,237,217,200,278,1819,0,31.6,16.7,58.7,11.6,0.9,16.0,0.0,128.51,24.54,21.31,10.33,13.82,12.71,1.11,22.51,20.43,2.19
SOLID STATE SQUAD†,SP,ANOTHER,12,155,155,149,285,221,238,257,246,210,262,1868,0,28.2,22.1,59.5,16.6,0.7,13.0,16.4,128.51,25.83,24.54,6.46,14.19,13.06,1.13,41.07,37.81,1.76
"ワルツ第17番 ト短調""大犬のワルツ""",SP,ANOTHER,12,230,320,0,199,252,320,292,285,207,129,1684,57,15.9,19.0,49.5,30.0,68.2,0.0,0.0,128.29,18.12,18.12,0.0,9.78,9.78,0.0,11.1,11.1,0.0
ALBIDA,SP,ANOTHER,12,185,185,142,274,185,199,174,201,194,161,1530,0,18.0,37.6,36.2,9.1,6.5,11.9,0.0,107.67,20.81,19.27,4.62,14.04,12.74,1.3,29.15,23.89,2.06
Broken,SP,ANOTHER,12,148,148,40,240,214,265,255,238,198,148,1598,0,27.4,4.5,77.7,52.0,2.2,2.9,0.0,122.22,24.05,23.43,3.7,12.8,12.48,0.32,53.07,51.39,0.36
Dances with Snow Fairies,SP,ANOTHER,12,154,154,65,261,192,208,198,234,254,211,1623,0,27.8,6.5,61.9,31.5,29.9,7.0,0.0,112.98,25.67,24.38,3.21,13.53,12.98,0.54,37.83,36.63,0.75
ELECTRIC MASSIVE DIVER,SP,ANOTHER,12,178,178,69,428,211,229,263,260,134,289,1883,0,21.7,57.3,27.0,11.1,13.3,4.1,23.9,133.48,22.99,20.03,2.97,13.97,13.45,0.51,23.26,22.59,0.45
PARADISE LOST,SP,ANOTHER,12,200,200,151,350,224,204,249,159,198,183,1718,0,24.4,17.1,36.7,28.2,10.1,14.5,49.2,124.2,25.0,23.33,5.0,13.51,12.32,1.19,36.66,28.03,1.68
perditus†paradisus,SP,ANOTHER,12,172,172,42,292,278,303,277,338,276,259,2065,0,30.4,3.6,81.7,41.1,18.1,2.4,63.5,124.18,30.1,29.38,2.15,16.44,16.11,0.33,52.78,50.21,0.33
reunion,SP,ANOTHER,12,184,184,69,331,185,235,194,253,172,238,1677,0,18.9,45.5,40.9,21.8,12.3,5.9,0.0,113.64,27.6,26.83,4.6,13.12,12.58,0.54,25.41,22.54,0.85
sakura storm,SP,ANOTHER,12,184,184,153,222,125,149,170,162,115,129,1225,0,18.1,33.8,29.5,0.0,2.8,15.8,14.8,86.08,19.93,19.17,4.6,14.02,12.27,1.75,10.97,14.52,2.31
Session 9 -Chronicles-,SP,ANOTHER,12,182,189,63,268,210,295,289,288,243,196,1852,1,25.9,24.7,49.3,16.3,41.6,4.0,0.0,114.87,28.06,27.3,2.36,15.74,15.2,0.53,37.57,36.13,0.4
SPECIAL SUMMER CAMPAIGN!,SP,ANOTHER,12,168,168,107,234,185,195,208,197,182,201,1509,0,26.3,44.9,24.9,4.4,3.2,8.8,0.0,97.32,20.3,17.5,4.2,15.09,14.02,1.07,10.22,9.8,1.09
Watch Out Pt.2,SP,ANOTHER,12,148,148,427,183,106,186,158,204,108,134,1506,0,19.3,17.0,29.6,8.1,6.8,76.8,0.0,106.62,21.58,18.5,9.87,14.07,10.08,3.99,10.96,12.87,6.98
黒髪乱れし修羅となりて,SP,ANOTHER,12,150,150,69,327,206,230,246,237,213,217,1745,0,28.6,8.7,67.2,40.1,18.4,5.2,0.0,117.2,20.0,20.0,3.12,14.54,13.97,0.57,12.73,11.35,0.56
灼熱Beach Side Bunny,SP,ANOTHER,12,153,153,667,204,127,145,134,203,130,109,1719,0,7.3,27.9,5.1,27.5,12.3,98.2,0.0,118.82,22.95,15.3,10.84,14.42,8.82,5.59,11.01,3.4,5.5
BLACK.by X-Cross Fade,SP,ANOTHER,12,163,163,521,208,121,195,184,192,124,193,1738,0,6.6,42.5,13.0,8.3,9.2,101.8,0.0,110.06,25.13,23.77,10.19,15.74,11.02,4.72,12.17,11.35,11.66
DIAVOLO,SP,ANOTHER,12,160,160,83,261,206,252,248,266,219,210,1745,0,28.3,9.6,66.5,46.7,24.3,6.4,0.0,106.12,32.0,32.0,4.67,16.16,15.39,0.77,32.36,32.71,0.88
F,SP,ANOTHER,12,154,154,39,264,259,212,267,248,271,253,1813,0,42.9,2.0,79.6,26.6,1.0,2.4,0.0,110.64,23.1,20.53,2.57,16.16,15.81,0.35,11.01,11.21,0.32
fffff,SP,ANOTHER,12,138,138,58,224,224,241,224,229,225,199,1624,0,25.6,12.5,72.6,53.8,45.0,4.1,0.0,98.69,23.58,23.0,2.3,16.38,15.8,0.59,10.27,9.21,0.57
HAERETICUS,SP,ANOTHER,12,208,208,121,214,212,224,217,210,200,191,1589,0,25.6,28.0,41.3,14.9,3.5,11.0,0.0,101.39,29.47,26.87,5.2,15.65,14.46,1.19,44.99,39.65,1.02
NNRT,SP,ANOTHER,12,101,202,97,309,229,247,267,232,225,174,1780,2,19.1,44.4,27.7,11.6,8.1,7.8,0.0,129.5,22.72,21.88,3.37,13.88,13.11,0.77,33.64,33.11,1.11
quaver♪,SP,ANOTHER,12,182,186,52,310,224,222,232,247,249,209,1745,2,23.2,50.4,36.2,35.0,5.5,4.0,0.0,103.26,25.58,24.53,3.88,16.9,16.39,0.5,21.04,20.58,0.76
Snake Stick,SP,ANOTHER,12,145,145,418,150,120,165,174,173,129,118,1447,0,25.7,7.0,39.6,8.3,2.2,77.6,0.0,109.24,20.54,16.31,10.27,13.05,9.28,3.77,9.61,21.16,12.99
The Limbo,SP,ANOTHER,12,200,200,80,277,216,214,253,232,221,208,1701,0,27.4,27.1,36.7,15.6,5.5,7.4,0.0,116.4,25.83,24.17,6.67,14.32,13.64,0.67,27.75,25.16,2.48
The Sampling Paradise,SP,ANOTHER,12,150,150,181,244,176,191,198,202,194,159,1545,0,34.7,5.6,57.3,12.0,6.9,24.5,6.1,111.9,22.5,21.25,8.75,13.79,12.18,1.62,21.28,26.93,3.71
Thunderbolt,SP,ANOTHER,12,188,188,124,247,273,294,275,281,242,175,1911,0,27.5,42.6,25.9,9.3,17.7,10.0,0.0,114.89,22.72,21.93,4.7,15.93,14.89,1.03,18.43,19.42,0.83
Todestrieb,SP,ANOTHER,12,185,185,21,273,224,244,259,254,253,205,1733,0,31.2,26.1,43.6,4.6,9.9,1.3,41.0,124.54,23.12,22.35,0.77,13.77,13.6,0.17,31.05,30.48,0.1
WONDER WALKER,SP,ANOTHER,12,165,165,84,304,245,273,251,247,265,252,1921,0,34.1,20.9,56.1,17.0,3.9,5.8,0.0,119.27,24.75,20.62,5.5,15.91,15.22,0.7,21.99,19.61,1.05
YAKSHA,SP,ANOTHER,12,190,190,71,296,276,281,271,270,260,275,2000,0,50.3,8.8,54.9,18.9,3.4,4.8,0.0,123.78,25.33,23.75,3.96,15.99,15.43,0.57,35.51,33.91,0.55
子供の落書き帳,SP,ANOTHER,12,280,280,70,285,120,192,210,178,180,160,1395,0,24.3,23.6,55.0,42.0,1.6,5.0,0.0,87.64,40.83,39.67,4.67,24.29,23.07,1.22,98.37,89.74,2.12
恋する☆宇宙戦争っ!!,SP,ANOTHER,12,200,200,105,333,178,267,260,283,225,184,1835,0,35.9,13.3,53.9,8.6,2.8,8.0,0.0,121.2,26.67,26.67,5.0,14.85,14.0,0.85,18.28,18.16,1.01
聖人の塔,SP,ANOTHER,12,97,194,25,289,200,240,202,240,174,197,1567,4,29.3,16.9,58.7,15.8,13.9,1.6,0.0,114.12,25.06,25.06,1.62,14.52,14.29,0.23,24.14,23.61,0.16
天空の夜明け,SP,ANOTHER,12,150,150,29,261,257,294,300,306,312,313,2072,0,30.3,1.3,95.4,72.9,12.3,1.6,0.0,108.8,29.38,28.12,2.5,16.82,16.58,0.24,59.97,58.36,0.18
Confiserie,SP,ANOTHER,12,185,185,121,291,216,245,237,270,228,225,1833,0,26.6,22.2,58.4,34.8,6.6,9.9,0.0,104.27,34.69,30.06,4.62,17.23,16.09,1.14,40.01,33.31,2.42
DAY DREAM,SP,ANOTHER,12,80,300,41,161,141,144,147,165,144,132,1075,4,16.5,10.8,45.3,24.3,43.8,3.6,0.0,83.79,47.46,43.92,3.54,15.6,15.04,0.56,90.05,83.54,0.42
Devilz Staircase,SP,ANOTHER,12,185,185,75,228,236,239,255,252,200,200,1685,0,28.7,22.1,58.3,31.1,19.4,6.8,22.6,107.65,44.71,35.46,9.25,15.1,14.43,0.67,61.94,51.68,2.49
Elemental Creation,SP,ANOTHER,12,212,212,98,341,310,289,292,307,266,227,2130,0,18.2,43.4,45.6,13.3,8.5,9.2,0.0,122.83,30.92,28.27,6.18,17.26,16.47,0.79,53.15,53.1,2.25
GAIA,SP,ANOTHER,12,180,180,69,253,203,242,210,242,229,228,1676,0,38.5,10.2,58.2,15.5,5.0,5.0,0.0,118.33,24.0,24.0,3.0,13.97,13.39,0.57,27.68,30.36,0.56
Hollywood Galaxy,SP,ANOTHER,12,186,186,33,224,159,241,212,219,160,144,1392,0,22.9,14.6,45.7,15.6,7.1,2.9,31.1,104.51,25.58,24.02,3.88,13.16,12.84,0.31,33.84,32.08,0.47
JOMANDA,SP,ANOTHER,12,90,300,118,268,228,268,280,304,251,201,1918,21,31.3,23.7,44.8,17.0,7.5,9.7,0.0,120.6,27.0,25.19,4.88,15.59,14.62,0.97,32.14,28.76,1.37
Liberation,SP,ANOTHER,12,150,150,24,309,231,231,217,258,258,377,1905,0,38.5,4.9,72.3,42.4,43.1,1.4,0.0,126.2,25.0,25.0,1.88,15.07,14.88,0.19,9.95,9.92,0.12
Little Star,SP,ANOTHER,12,183,183,118,306,162,214,237,248,181,169,1635,0,28.9,4.9,66.5,16.1,3.3,10.2,0.0,114.91,21.35,21.35,4.57,14.01,13.0,1.01,15.27,15.6,1.66
neu,SP,ANOTHER,12,199,199,77,265,260,291,276,302,292,236,1999,0,23.7,35.0,40.9,9.5,9.1,5.4,0.0,138.69,27.36,25.7,3.32,13.26,12.75,0.51,26.69,23.62,0.72
Plan 8,SP,ANOTHER,12,212,212,392,250,145,189,192,194,153,175,1690,0,6.8,43.5,8.5,7.4,11.9,81.5,0.0,120.0,30.92,21.2,14.13,13.82,10.62,3.21,50.74,39.66,16.66
Proof of the existence,SP,ANOTHER,12,170,170,55,249,236,233,263,237,229,173,1675,0,35.8,7.2,65.6,21.2,7.3,4.0,0.0,122.82,24.79,24.79,3.54,13.48,13.04,0.44,47.35,46.21,0.52
Sol Cosine Job 2,SP,ANOTHER,12,190,200,153,295,152,215,201,226,181,202,1625,2,32.9,13.0,41.1,12.6,9.2,13.7,7.1,118.61,22.5,20.83,5.0,13.52,12.24,1.28,36.52,34.0,0.88
STULTI,SP,ANOTHER,12,90,182,101,161,198,207,171,223,181,174,1416,2,22.5,29.2,50.9,63.3,7.9,9.0,0.0,104.32,21.23,18.96,3.38,13.82,12.89,0.93,30.72,28.93,0.88
SYNC-ANTHEM,SP,ANOTHER,12,160,166,58,306,242,247,273,275,249,215,1865,1,27.2,28.2,55.8,30.3,4.6,4.0,0.0,120.63,23.52,23.52,3.33,15.12,14.65,0.47,22.26,21.24,0.5
Thor's Hammer,SP,ANOTHER,12,150,150,106,223,205,219,218,247,224,199,1641,0,17.5,16.8,61.8,61.4,45.2,7.9,0.0,97.6,25.0,22.5,2.5,12.82,11.99,0.83,22.59,21.62,0.72
Timepiece phase II,SP,ANOTHER,12,287,287,77,248,199,238,228,233,208,234,1665,0,25.2,9.0,78.1,61.5,10.9,5.4,0.0,99.3,77.73,74.14,4.78,17.16,16.37,0.79,74.32,68.4,0.77
Timepiece phase II (CN Ver.),SP,ANOTHER,12,287,287,41,219,213,247,225,213,213,175,1546,0,25.9,9.6,61.5,52.4,26.5,3.3,60.1,103.78,75.34,74.14,4.78,15.67,15.25,0.42,72.98,70.33,0.62
True Blue,SP,ANOTHER,12,164,164,23,261,272,294,304,300,241,203,1898,0,36.5,8.2,71.1,19.1,2.6,1.3,0.0,127.31,23.23,21.18,2.05,14.74,14.56,0.18,26.48,25.91,0.13
Valanga,SP,ANOTHER,12,186,186,71,279,218,221,237,229,203,189,1647,0,13.7,49.5,31.9,12.8,4.5,7.2,25.1,105.64,23.25,22.48,5.42,15.57,14.9,0.67,14.74,13.15,1.17
Zirkfied,SP,ANOTHER,12,210,210,69,317,302,240,285,264,249,242,1968,0,30.9,16.3,60.2,32.5,19.9,4.9,0.0,123.14,35.88,35.0,5.25,15.94,15.39,0.56,51.9,47.6,0.72
アストライアの双皿,SP,ANOTHER,12,173,173,61,265,193,213,228,234,226,212,1632,0,25.3,11.2,45.1,14.1,38.8,4.7,26.7,120.69,23.07,23.07,4.32,13.07,12.58,0.49,25.07,22.5,0.71
龍と少女とデコヒーレンス†,SP,ANOTHER,12,165,165,61,243,207,254,233,257,240,218,1713,0,33.6,2.6,80.9,38.4,2.0,4.3,29.0,119.27,24.06,24.06,6.19,14.19,13.68,0.51,42.75,40.46,0.72
ΕΛΠΙΣ,SP,ANOTHER,12,175,175,35,206,229,241,221,234,235,199,1600,0,37.4,3.3,73.7,6.9,1.5,2.5,0.0,111.25,20.42,20.42,2.92,14.06,13.75,0.31,27.59,27.04,0.3
狂イ咲ケ焔ノ華,SP,ANOTHER,12,206,206,84,296,225,277,248,246,262,222,1860,0,33.3,21.1,32.9,14.5,16.4,7.2,0.0,128.0,27.47,27.47,4.29,14.51,13.86,0.66,12.62,14.42,1.05
