タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME,MAXNPS,MAXNPS_BW,MAXNPS_S,MEANNPS,MEANNPS_BW,MEANNPS_S,VARNPS,VARNPS_BW,VARNPS_S
V,SP,ANOTHER,12,150,150,47,273,194,216,168,225,170,226,1519,0,20.5,26.9,57.6,44.5,8.6,3.3,0.0,118.4,35.0,35.0,2.5,12.66,12.27,0.39,22.12,22.27,0.27
Colors(radio edit),SP,ANOTHER,12,150,150,29,274,147,156,147,162,150,193,1258,0,25.5,7.6,55.3,44.4,13.2,2.6,0.0,115.2,28.12,26.25,1.88,10.77,10.52,0.25,31.7,29.47,0.17
A,SP,ANOTHER,12,93,191,44,210,120,210,124,195,153,204,1260,1,20.3,43.6,32.2,9.3,3.2,4.5,0.0,118.93,19.1,17.51,1.59,11.23,10.83,0.4,15.04,13.96,0.33
PLEASE DON'T GO,SP,ANOTHER,12,135,135,108,313,155,107,103,176,145,144,1251,0,34.1,12.5,21.3,9.1,43.3,14.3,0.0,115.22,25.31,20.25,5.06,10.66,9.74,0.92,15.17,9.45,2.34
桜,SP,ANOTHER,12,13,320,81,302,34,214,107,159,91,135,1123,19,19.5,28.8,21.2,9.1,44.6,8.5,0.0,96.28,30.0,25.0,5.33,12.8,11.87,0.93,20.61,18.59,1.45
moon_child,SP,ANOTHER,12,130,160,82,166,183,183,157,185,170,174,1300,7,19.6,17.2,42.4,20.2,25.7,9.4,0.0,114.45,25.33,22.67,4.0,10.67,10.0,0.67,32.31,28.28,1.21
one or eight,SP,ANOTHER,12,155,155,149,257,89,141,128,145,130,138,1177,0,23.6,10.5,28.9,12.9,36.2,17.6,0.0,92.32,27.13,21.96,5.17,12.67,11.07,1.6,11.74,8.25,3.1
Innocent Walls,SP,ANOTHER,12,155,155,134,240,131,154,120,129,350,188,1446,0,19.1,15.9,21.6,9.2,62.6,15.4,0.0,117.77,30.35,21.96,8.4,11.97,10.86,1.11,17.18,11.93,2.13
Innocent Walls,SP,HYPER,12,155,155,128,224,142,159,104,96,248,180,1281,0,19.1,11.1,16.3,3.0,67.3,15.4,0.0,117.67,31.65,23.25,8.4,10.74,9.67,1.07,17.32,12.24,1.91
One More Lovely,SP,ANOTHER,12,200,200,31,292,158,216,120,258,194,183,1452,0,54.6,10.1,36.3,19.4,2.0,3.1,0.0,105.52,27.5,26.67,4.17,13.44,13.16,0.29,30.57,31.48,0.49
雪月花,SP,ANOTHER,12,151,151,94,226,179,180,151,153,159,145,1287,0,36.7,10.8,39.5,8.8,10.5,11.4,0.0,109.47,22.02,19.5,7.55,11.57,10.72,0.84,25.53,20.49,2.21
AA,SP,ANOTHER,12,154,154,23,270,246,283,258,276,247,231,1834,0,41.5,6.4,77.6,24.2,1.0,1.4,0.0,113.76,28.23,25.67,2.57,15.9,15.7,0.2,20.44,19.9,0.16
FAKE TIME,SP,ANOTHER,12,200,200,63,219,123,163,167,161,153,182,1231,0,5.2,36.9,17.3,15.8,17.8,5.5,0.0,100.8,26.67,26.67,3.33,12.07,11.45,0.62,21.32,21.05,0.6
gigadelic,SP,ANOTHER,12,173,173,121,269,128,183,157,161,107,175,1301,0,35.7,7.4,47.7,70.2,0.8,10.5,0.0,122.08,22.35,18.74,3.6,10.54,9.56,0.98,20.65,17.28,1.22
gigadelic,SP,HYPER,12,173,173,104,246,118,128,126,139,101,154,1116,0,33.4,6.9,39.5,70.2,0.0,10.2,0.0,122.08,20.9,17.3,3.6,9.04,8.2,0.84,18.65,15.84,1.07
